                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7411,                 1.9114,                0.60189,                 2.3052,                 1.7357,                0.98993,                      1,                  0.995,                0.70862,                0.98993,                      1,                  0.995,                0.60495,                0.98024,                 1.6165,                 0.6098,                0.78689,                 1.1263,                0.00024,                0.00024,                0.00024
                      2,                0.87679,                0.88098,                0.42082,                0.53416,                 1.0745,                0.99364,                      1,                  0.995,                0.79612,                0.99364,                      1,                  0.995,                0.70098,                0.70681,                 1.4134,                0.53352,                0.55318,                0.92367,              0.0004505,              0.0004505,              0.0004505
                      3,                0.80802,                0.56624,                0.29674,                0.50767,                   1.01,                0.99151,                      1,                  0.995,                0.81016,                0.99151,                      1,                  0.995,                 0.8083,                0.73104,                0.97477,                0.40681,                0.56671,                0.94547,             0.00060952,             0.00060952,             0.00060952
                      4,                0.75458,                0.41022,                0.23451,                0.45895,                0.95826,                0.99369,                      1,                  0.995,                 0.7966,                0.99369,                      1,                  0.995,                0.84083,                 0.8221,                0.62731,                0.29437,                0.48023,                 1.1212,             0.00071706,             0.00071706,             0.00071706
                      5,                0.74262,                0.31565,                 0.1672,                0.43588,                0.97602,                0.99455,                      1,                  0.995,                0.87561,                0.99455,                      1,                  0.995,                0.91605,                0.62074,                0.51209,                0.24902,                0.35226,                0.84217,             0.00077312,             0.00077312,             0.00077312
                      6,                0.71987,                0.26577,                0.13513,                0.41968,                0.94255,                0.99396,                      1,                  0.995,                0.87269,                0.99396,                      1,                  0.995,                0.96691,                0.65371,                0.39631,                0.15553,                0.39678,                0.89547,              0.0007777,              0.0007777,              0.0007777
                      7,                0.70551,                  0.227,                0.11855,                0.39829,                 0.9724,                0.99331,                      1,                  0.995,                0.85947,                0.99331,                      1,                  0.995,                0.98444,                0.61535,                0.26043,                0.10047,                0.44064,                0.85929,              0.0007308,              0.0007308,              0.0007308
                      8,                0.69727,                0.19816,                 0.1213,                0.40113,                0.96841,                 0.9914,                      1,                  0.995,                0.85162,                 0.9914,                      1,                  0.995,                0.98339,                0.57955,                0.19078,                0.09003,                0.37522,                0.85114,               0.000614,               0.000614,               0.000614
                      9,                0.69081,                0.19481,                0.10479,                0.39547,                0.94713,                0.99166,                      1,                  0.995,                0.91268,                0.99166,                      1,                  0.995,                  0.995,                0.50601,                0.16524,                0.07575,                0.37515,                 0.8312,               0.000614,               0.000614,               0.000614
                     10,                0.65683,                0.17415,                 0.0962,                0.37448,                0.92368,                0.99449,                      1,                  0.995,                0.88138,                0.99449,                      1,                  0.995,                  0.995,                0.58655,                0.16628,                0.07141,                0.32603,                0.85685,               0.000416,               0.000416,               0.000416
